# Dictionary extracted from https://synagonism.net/otenet/gr/gpd.html
# Thanks to Nikos Kasseluris at https://synagonism.net
αβάκιο α-βά-κι-ο
κάποιων κά-ποι-ων
κάποτε κά-πο-τε
κάπου κά-που
κάπως κά-πως
καράβι κα-ρά-βι
Καραγιαννάκη Κα-ρα-για-ννά-κη
Καραγιάννης Κα-ρα-γιά-ννης
Καράγιωργας Κα-ρά-γιωρ-γας
καραδοκεί κα-ρα-δο-κεί
καραμπόλα κα-ρα-μπό-λα
Καρασάββα Κα-ρα-σά-ββα
καρβέλι καρ-βέ-λι
καρδιά καρ-διά
καρδιαγγειακή καρ-δι-α-γγει-α-κή
καρδιαγγειακό καρ-δι-α-γγει-α-κό
καρδιαγγειακού καρ-δι-α-γγει-α-κού
καρδιακή καρ-δι-α-κή
καρδιακό καρ-δι-α-κό
καρδιακός καρ-δι-α-κός
καρδιάς καρ-διάς
καρδιολογίας καρ-δι-ο-λο-γί-ας
καρδούλα καρ-δού-λα
καρέκλες κα-ρέ-κλες
καρκίνο καρ-κί-νο
καρκίνος καρ-κί-νος
Κάρλ Κάρλ
Καρντάν Καρ-ντάν
Καρποδίνης Καρ-πο-δί-νης
καρπός καρ-πός
καρπού καρ-πού
κάρτα κάρ-τα
κάρτες κάρ-τες
Καρτέσιος Καρ-τέ-σι-ος
καρύδι κα-ρύ-δι
καρύκευμα κα-ρύ-κευ-μα
καρφί καρ-φί
κάρφωσαν κάρ-φω-σαν
κασέτα κα-σέ-τα
κασετεμπορική κα-σε-τε-μπο-ρι-κή
κασέτες κα-σέ-τες
Κασίρερ Κα-σί-ρερ
Κασσελούρης Κα-σσε-λού-ρης
κασσέτα κα-σσέ-τα
κατά κα-τά
καταβολή κα-τα-βο-λή
καταγγείλει κα-τα-γγεί-λει
καταγγέλλω κα-τα-γγέ-λλω
κάταγμα κά-ταγ-μα
καταδείξει κα-τα-δεί-ξει
καταδικασμένη κα-τα-δι-κα-σμέ-νη
καταδικασμένο κα-τα-δι-κα-σμέ-νο
καταθέσεις κα-τα-θέ-σεις
καταθέσουν κα-τα-θέ-σουν
καταθέσω κα-τα-θέ-σω
κατακλύστηκε κα-τα-κλύ-στη-κε
κατακτήσει κα-τα-κτή-σει
κατακτούσα κα-τα-κτού-σα
κατακτώ κα-τα-κτώ
κατάλαβα κα-τά-λα-βα
καταλάβαινα κα-τα-λά-βαι-να
καταλαβαίνει κα-τα-λα-βαί-νει
καταλαβαίνεις κα-τα-λα-βαί-νεις
καταλαβαίνετε κα-τα-λα-βαί-νε-τε
καταλαβαίνω κα-τα-λα-βαί-νω
καταλάβει κα-τα-λά-βει
καταλάβετε κα-τα-λά-βε-τε
καταλάβουμε κα-τα-λά-βου-με
καταλάγιασμα κα-τα-λά-για-σμα
καταλανική κα-τα-λα-νι-κή
καταλήξαμε κα-τα-λή-ξα-με
καταλήξατε κα-τα-λή-ξα-τε
καταλήξει κα-τα-λή-ξει
κατάλληλα κα-τά-λλη-λα
κατάλληλο κα-τά-λλη-λο
κατάλογο κα-τά-λο-γο
καταλυτική κα-τα-λυ-τι-κή
κατανάλωση κα-τα-νά-λω-ση
καταναλωτές κα-τα-να-λω-τές
καταναλωτή κα-τα-να-λω-τή
καταναλωτής κα-τα-να-λω-τής
καταναλωτών κα-τα-να-λω-τών
κατάνειμε κα-τά-νει-με
κατανείμει κα-τα-νεί-μει
κατανείμω κα-τα-νεί-μω
κατάνεμε κα-τά-νε-με
κατανεμημένο κα-τα-νε-μη-μέ-νο
κατανέμοντας κα-τα-νέ-μο-ντας
κατανέμω κα-τα-νέ-μω
κατανόηση κα-τα-νό-η-ση
κατανόησης κα-τα-νό-η-σης
κατανοήσουμε κα-τα-νο-ή-σου-με
κατανομή κα-τα-νο-μή
κατανομής κα-τα-νο-μής
κατανοούσαν κα-τα-νο-ού-σαν
καταντά κα-τα-ντά
καταντάω κα-τα-ντά-ω
κατάντη κα-τά-ντη
καταντήσει κα-τα-ντή-σει
καταντήσεις κα-τα-ντή-σεις
καταντήσω κα-τα-ντή-σω
καταντούσα κα-τα-ντού-σα
καταντώντας κα-τα-ντώ-ντας
καταπιάνομαι κα-τα-πιά-νο-μαι
καταπίεσης κα-τα-πί-ε-σης
κατάπληξη κα-τά-πλη-ξη
καταπραΰνω κα-τα-πρα-ΰ-νω
καταργείται κα-ταρ-γεί-ται
καταργηθεί κα-ταρ-γη-θεί
κατάργησης κα-τάρ-γη-σης
καταργήσουμε κα-ταρ-γή-σου-με
καταργήσω κα-ταρ-γή-σω
καταρράκτη κα-τα-ρρά-κτη
καταρράκτης κα-τα-ρρά-κτης
καταρρεύσει κα-τα-ρρεύ-σει
κατάρρευση κα-τά-ρρευ-ση
κατάρρευσης κα-τά-ρρευ-σης
κατασκευάζει κα-τα-σκε-υά-ζει
κατασκευάζεται κα-τα-σκε-υά-ζε-ται
κατασκευάζουμε κα-τα-σκε-υά-ζου-με
κατασκευασμένη κα-τα-σκε-υα-σμέ-νη
κατασκευασμένοι κα-τα-σκε-υα-σμέ-νοι
κατασκευασμένος κα-τα-σκε-υα-σμέ-νος
κατασκευάσουν κα-τα-σκε-υά-σουν
κατασκευαστεί κα-τα-σκε-υα-στεί
κατασκευάστηκε κα-τα-σκε-υά-στη-κε
κατασκευαστής κα-τα-σκε-υα-στής
κατασκευάστρια κα-τα-σκε-υά-στρι-α
κατασκευή κα-τα-σκε-υή
κατασκευής κα-τα-σκε-υής
καταστάσεις κα-τα-στά-σεις
κατάσταση κα-τά-στα-ση
κατάστασης κα-τά-στα-σης
καταστατικό κα-τα-στα-τι-κό
καταστήματα κα-τα-στή-μα-τα
κατάστησε κα-τά-στη-σε
καταστήσει κα-τα-στή-σει
καταστήσω κα-τα-στή-σω
καταστολής κα-τα-στο-λής
καταστραφεί κα-τα-στρα-φεί
καταστρέφει κα-τα-στρέ-φει
καταστρέφομαι κα-τα-στρέ-φο-μαι
καταστρεφόμουν κα-τα-στρε-φό-μουν
καταστρέφω κα-τα-στρέ-φω
καταστρέψει κα-τα-στρέ-ψει
καταστροφές κα-τα-στρο-φές
καταστροφή κα-τα-στρο-φή
κατάστρωσης κα-τά-στρω-σης
κάτασχε κά-τα-σχε
κατάσχει κα-τά-σχει
κατασχέσω κα-τα-σχέ-σω
κατάσχοντας κα-τά-σχο-ντας
κατάσχω κα-τά-σχω
κατατάξουμε κα-τα-τά-ξου-με
κατατεθεί κα-τα-τε-θεί
κατατέθηκα κα-τα-τέ-θη-κα
κατατίθεμαι κα-τα-τί-θε-μαι
κατατίθεται κα-τα-τί-θε-ται
κατατοπιστικά κα-τα-το-πι-στι-κά
κατατρύχομαι κα-τα-τρύ-χο-μαι
καταυγάζω κα-τα-υγά-ζω
καταφάσκω κα-τα-φά-σκω
καταφατική κα-τα-φα-τι-κή
καταφατικοτητα κα-τα-φα-τι-κο-τη-τα
κατάφερα κα-τά-φε-ρα
κατάφερε κα-τά-φε-ρε
καταφέρεις κα-τα-φέ-ρεις
καταφέρνω κα-τα-φέρ-νω
καταφέρουν κα-τα-φέ-ρουν
καταφύγιο κα-τα-φύ-γι-ο
κατάφωρος κα-τά-φω-ρος
καταχωρητή κα-τα-χω-ρη-τή
κατέβα κα-τέ-βα
κατέβαινα κα-τέ-βαι-να
κατέβαινε κα-τέ-βαι-νε
κατεβαίνοντας κα-τε-βαί-νο-ντας
κατεβαίνω κα-τε-βαί-νω
κατέβει κα-τέ-βει
κατέβηκα κα-τέ-βη-κα
κατέβω κα-τέ-βω
κατεδαφίζω κα-τε-δα-φί-ζω
κατείχαν κα-τεί-χαν
κατέκτησα κα-τέ-κτη-σα
κατέληξα κα-τέ-λη-ξα
κατένειμα κα-τέ-νει-μα
κατένεμα κα-τέ-νε-μα
κατεργασμένος κα-τερ-γα-σμέ-νος
κατέρρευσε κα-τέ-ρρευ-σε
κατεστημένο κα-τε-στη-μέ-νο
κατέστησα κα-τέ-στη-σα
κατεστράφην κα-τε-στρά-φην
κατέστρεφα κα-τέ-στρε-φα
κατέστρεψα κα-τέ-στρε-ψα
κάτεσχα κά-τε-σχα
κατέσχεσα κα-τέ-σχε-σα
κατευθείαν κα-τε-υθεί-αν
κατευθύνεται κα-τε-υθύ-νε-ται
κατεύθυνση κα-τεύ-θυν-ση
κατέχουν κα-τέ-χουν
κατήγγειλα κα-τή-γγει-λα
κατήγγελλα κα-τή-γγε-λλα
κατηγορεί κα-τη-γο-ρεί
κατηγορήθηκε κα-τη-γο-ρή-θη-κε
κατηγόρημα κα-τη-γό-ρη-μα
κατηγορηματική κα-τη-γο-ρη-μα-τι-κή
κατηγορήματος κα-τη-γο-ρή-μα-τος
κατηγορία κα-τη-γο-ρί-α
κατηγόρια κα-τη-γόρ-ια
κατηγορίες κα-τη-γο-ρί-ες
κατηγόριες κα-τη-γόρ-ιες
κατηγοριοποίηση κα-τη-γο-ρι-ο-ποί-η-ση
κατηγοριών κα-τη-γο-ρι-ών
κατηγορούμενοι κα-τη-γο-ρού-με-νοι
κατηγορούμενος κα-τη-γο-ρού-με-νος
κατήντησα κα-τή-ντη-σα
κάτι κά-τι
κατοικεί κα-τοι-κεί
κατοικία κα-τοι-κί-α
κατοίκων κα-τοί-κων
κατονομαζόμενος κα-το-νο-μα-ζό-με-νος
κατόπιν κα-τό-πιν
κατορθώνει κα-τορ-θώ-νει
κατορθώσατε κα-τορ-θώ-σα-τε
κατορθώσει κα-τορ-θώ-σει
κάτου κά-του
κατοχή κα-το-χή
κάτοχος κά-το-χος
κατσάδα κα-τσά-δα
Κατσάρας κα-τσά-ρας
Κατσαρλίνος κα-τσαρ-λί-νος
κάτσε κά-τσε
Κατσιμίχα Κα-τσι-μί-χα
κάτω κά-τω
κατώτεροι κα-τώ-τε-ροι
κατωφέρεια κα-τω-φέ-ρει-α
κατώφλι κα-τώ-φλι
καύσης καύ-σης
καυσίμων καυ-σί-μων
καφενείο κα-φε-νεί-ο
Καφιέρο Κα-φιέ-ρο
κάψιμο κά-ψι-μο
καψούλι κα-ψού-λι
κβαντομηχανική κβα-ντο-μη-χα-νι-κή
Κέιμαν Κέ-ι-μαν
κείμενα κεί-με-να
κείμενο κεί-με-νο
κειμένου κει-μέ-νου
κειμήλιο κει-μή-λι-ο
Κέιν Κέ-ιν
Κέινς Κέ-ινς
Κέιπ Κέ-ιπ
κεκλεισμένων κε-κλει-σμέ-νων
κεκλιμένο κε-κλι-μέ-νο
κελεμπία κε-λε-μπί-α
Κελεσίδου Κε-λε-σί-δου
κελιά κε-λιά
κενά κε-νά
Κένεθ Κέ-νεθ
κενό κε-νό
κενός κε-νός
Κεντ Κεντ
κέντρα κέ-ντρα
κεντρική κε-ντρι-κή
κεντρικής κε-ντρι-κής
κεντρικό κε-ντρι-κό
κεντρικός κε-ντρι-κός
κέντρο κέ-ντρο
κεντροαφρικανική κε-ντρο-α-φρι-κα-νι-κή
κέντρου κέ-ντρου
κέντρων κέ-ντρων
κεραία κε-ραί-α
κέρας κέ-ρας
κερατίνη κε-ρα-τί-νη
κερατοειδής κε-ρα-το-ει-δής
κέρδη κέρ-δη
κερδηθεί κερ-δη-θεί
κερδήθηκα κερ-δή-θη-κα
κέρδιζα κέρ-δι-ζα
κέρδιζε κέρ-δι-ζε
κερδίζομαι κερ-δί-ζο-μαι
κερδιζόμουν κερ-δι-ζό-μουν
κερδίζοντας κερ-δί-ζο-ντας
κερδίζουν κερ-δί-ζουν
κερδίζω κερ-δί-ζω
κέρδισα κέρ-δι-σα
κέρδισε κέρ-δι-σε
κερδίσει κερ-δί-σει
κερδίσω κερ-δί-σω
κερδοσκοπικός κερ-δο-σκο-πι-κός
κέρδους κέρ-δους
κερκίδα κερ-κί-δα
κερκίδες κερ-κί-δες
Κέυνς Κέ-υνς
κεφαδροξίλη κε-φα-δρο-ξί-λη
κεφάλαια κε-φά-λαι-α
κεφαλαίο κε-φα-λαί-ο
κεφάλαιο κε-φά-λαι-ο
κεφαλαίου κε-φα-λαί-ου
κεφαλάρι κε-φα-λά-ρι
κεφαλής κε-φα-λής
κεφτεδάκια κε-φτε-δά-κια
κεφτέδες κε-φτέ-δες
Κεχαίδης Κε-χα-ί-δης
Κζούνιας Κζού-νιας
κηδεμονία κη-δε-μο-νί-α
κηλίδα κη-λί-δα
κηρήθρα κη-ρή-θρα
κηρίων κη-ρί-ων
κηφήνας κη-φή-νας
κι κι
κιάλια κιά-λια
κίβδηλο κί-βδη-λο
κίβδηλος κί-βδη-λος
κιθάρα κι-θά-ρα
Κιμ Κιμ
κιμά κι-μά
κιμάς κι-μάς
Κίνα Κί-να
Κίνας Κί-νας
κίνδυνο κίν-δυ-νο
κίνδυνοι κίν-δυ-νοι
κινδύνου κιν-δύ-νου
κίνδυνου κίν-δυ-νου
κινδύνους κιν-δύ-νους
κινδύνων κιν-δύ-νων
κινεζική κι-νε-ζι-κή
Κινέζοι Κι-νέ-ζοι
Κινέζους Κι-νέ-ζους
κινηθείς κι-νη-θείς
κινηματογράφος κι-νη-μα-το-γρά-φος
κινήσει κι-νή-σει
κίνηση κί-νη-ση
κινητά κι-νη-τά
κινητή κι-νη-τή
κινητήριος κι-νη-τή-ρι-ος
κινητής κι-νη-τής
κινητικό κι-νη-τι-κό
κινητικότητας κι-νη-τι-κό-τη-τας
κινητό κι-νη-τό
κίνητρα κί-νη-τρα
κίνητρο κί-νη-τρο
κινήτρων κι-νή-τρων
κινούμενα κι-νού-με-να
κινουμένου κι-νου-μέ-νου
κινούνται κι-νού-νται
κινούσες κι-νού-σες
κιόλας κιό-λας
Κιούκορ Κιού-κορ
Κιουντούζης Κιου-ντού-ζης
κιούπι κιού-πι
Κιργιστάν Κιρ-γι-στάν
Κιρίμπας Κι-ρί-μπας
Κιρμίτσης Κιρ-μί-τσης
κιρσός κιρ-σός
κισμέτ κι-σμέτ
κίτρο κί-τρο
κιτς κιτς
κλαδί κλα-δί
κλάδος κλά-δος
κλαζομένιος κλα-ζο-μέ-νι-ος
κλαίγει κλαί-γει
κλαίγοντας κλαί-γο-ντας
κλαίω κλαί-ω
κλακ κλακ
κλαρίνο κλα-ρί-νο
Κλαρκ Κλαρκ
κλάση κλά-ση
κλασική κλα-σι-κή
κλασικό κλα-σι-κό
κλάσμα κλά-σμα
κλασσική κλα-σσι-κή
κλάψε κλά-ψε
κλάψει κλά-ψει
κλάψω κλά-ψω
κλέβω κλέ-βω
κλείδα κλεί-δα
Κλειδάριθμος Κλει-δά-ριθ-μος
κλειδί κλει-δί
κλειδωθεί κλει-δω-θεί
κλειδώθηκα κλει-δώ-θη-κα
κλείδωνα κλεί-δω-να
κλειδώνομαι κλει-δώ-νο-μαι
κλειδωνόμουν κλει-δω-νό-μουν
κλειδώνω κλει-δώ-νω
κλείδωσα κλεί-δω-σα
κλειδώσει κλει-δώ-σει
κλείνε κλεί-νε
κλείνομαι κλεί-νο-μαι
κλεινόμουν κλει-νό-μουν
κλείνοντας κλεί-νο-ντας
κλείνω κλεί-νω
κλείσε κλεί-σε
κλείσει κλεί-σει
κλείσεις κλεί-σεις
κλειστεί κλει-στεί
κλείστηκα κλεί-στη-κα
κλειστό κλει-στό
κλείσω κλεί-σω
Κλεοπάτρα Κλε-ο-πά-τρα
κλέψει κλέ-ψει
κλέψουν κλέ-ψουν
κλήμα κλή-μα
κληρονομιάς κλη-ρο-νο-μιάς
κλήση κλή-ση
κλητική κλη-τι-κή
κλητικό κλη-τι-κό
κλίκα κλί-κα
κλίμα κλί-μα
κλίμακα κλί-μα-κα
κλίμακας κλί-μα-κας
κλίματος κλί-μα-τος
κλίνουν κλί-νουν
κλίση κλί-ση
Κλομιφέν Κλο-μι-φέν
κλόουν κλό-ουν
κλοπή κλο-πή
κλουβί κλου-βί
κλυδωνίζεται κλυ-δω-νί-ζε-ται
Κλυν Κλυν
κλύσμα κλύ-σμα
κλώθω κλώ-θω
κνήμη κνή-μη
κνήμης κνή-μης
κνησμού κνη-σμού
κνίδωση κνί-δω-ση
Κνουτ Κνουτ
κνούτο κνού-το
κνώδαλο κνώ-δα-λο
κόβε κό-βε
κόβομαι κό-βο-μαι
κοβόμουν κο-βό-μουν
κόβοντας κό-βο-ντας
κόβω κό-βω
κογκ κογκ
Κογκό Κο-γκό
κοιλάδα κοι-λά-δα
κοιλιά κοι-λιά
κοιλιάς κοι-λιάς
κοιλότητα κοι-λό-τη-τα
κοιμάμαι κοι-μά-μαι
κοιμάσαι κοι-μά-σαι
κοιμάται κοι-μά-ται
κοιμηθεί κοι-μη-θεί
κοιμήθηκα κοι-μή-θη-κα
κοιμηθώ κοι-μη-θώ
κοιμήσου κοι-μή-σου
κοιμόμουν κοι-μό-μουν
κοιμόμουνα κοι-μό-μου-να
κοιμώμενος κοι-μώ-με-νος
κοινή κοι-νή
κοινής κοι-νής
κοινό κοι-νό
κοινοβούλιο κοι-νο-βού-λι-ο
κοινολογώ κοι-νο-λο-γώ
κοινοπολιτεία κοι-νο-πο-λι-τεί-α
κοινοπραξιών κοι-νο-πρα-ξι-ών
κοινός κοι-νός
κοινότητα κοι-νό-τη-τα
κοινότητας κοι-νό-τη-τας
κοινότητες κοι-νό-τη-τες
κοινοτήτων κοι-νο-τή-των
κοινοτικά κοι-νο-τι-κά
κοινοτικό κοι-νο-τι-κό
κοινοτοπία κοι-νο-το-πί-α
κοινού κοι-νού
κοινωνία κοι-νω-νί-α
κοινωνίας κοι-νω-νί-ας
κοινωνίες κοι-νω-νί-ες
κοινωνικά κοι-νω-νι-κά
κοινωνικές κοι-νω-νι-κές
κοινωνική κοι-νω-νι-κή
κοινωνικής κοι-νω-νι-κής
κοινωνικό κοι-νω-νι-κό
κοινωνικοί κοι-νω-νι-κοί
κοινωνικοοικονομικό κοι-νω-νι-κο-οι-κο-νο-μι-κό
κοινωνικοοικονομικός κοι-νω-νι-κο-οι-κο-νο-μι-κός
κοινωνικοοικονομικών κοι-νω-νι-κο-οι-κο-νο-μι-κών
κοινωνικοποίηση κοι-νω-νι-κο-ποί-η-ση
κοινωνικοπολιτικά κοι-νω-νι-κο-πο-λι-τι-κά
κοινωνικοπολιτικό κοι-νω-νι-κο-πο-λι-τι-κό
κοινωνικός κοι-νω-νι-κός
κοινωνικού κοι-νω-νι-κού
κοινωνικών κοι-νω-νι-κών
κοινωνιολογία κοι-νω-νι-ο-λο-γί-α
κοινωνιολογίας κοι-νω-νι-ο-λο-γί-ας
κοινωνοί κοι-νω-νοί
κοιτάει κοι-τά-ει
κοίταζα κοί-τα-ζα
κοιτάζω κοι-τά-ζω
κοίταξα κοί-τα-ξα
κοίταξε κοί-τα-ξε
κοιτάξει κοι-τά-ξει
κοιτάξτε κοι-τάξ-τε
κοιτάξω κοι-τά-ξω
κοιτάς κοι-τάς
κοίτασμα κοί-τα-σμα
κοίτη κοί-τη
κοιτίδα κοι-τί-δα
κοιτώντας κοι-τώ-ντας
κοκ κοκ
κοκαΐνη κο-κα-ΐ-νη
κόκαλο κό-κα-λο
κοκίτης κο-κί-της
κόκκινα κό-κκι-να
κοκκινιστό κο-κκι-νι-στό
κόκκινος κό-κκι-νος
κόκκινου κό-κκι-νου
κόκκυγας κό-κκυ-γας
Κοκολάκης Κο-κο-λά-κης
κολάκευα κο-λά-κε-υα
κολάκευε κο-λά-κε-υε
κολακεύομαι κο-λα-κε-ύο-μαι
κολακευόμουν κο-λα-κε-υό-μουν
κολακεύοντας κο-λα-κε-ύο-ντας
κολάκευσε κο-λά-κευ-σε
κολακεύσει κο-λα-κεύ-σει
κολακεύσω κο-λα-κεύ-σω
κολακευτεί κο-λα-κε-υτεί
κολακεύτηκα κο-λα-κεύ-τη-κα
κολακεύω κο-λα-κε-ύω
κολέγιο κο-λέ-γι-ο
κολεκτίβες κο-λε-κτί-βες
Κολεσόφ Κο-λε-σόφ
κολικός κο-λι-κός
κόλλαγα κό-λλα-γα
κολλάς κο-λλάς
κολλάω κο-λλά-ω
κολληθεί κο-λλη-θεί
κολλήθηκα κο-λλή-θη-κα
κόλλησα κό-λλη-σα
κόλλησε κό-λλη-σε
κολλήσει κο-λλή-σει
κολλήσω κο-λλή-σω
κολλιέμαι κο-λλιέ-μαι
κολλιόμουν κο-λλιό-μουν
κολλώντας κο-λλώ-ντας
κόλπος κόλ-πος
κόλπους κόλ-πους
κολυμπάς κο-λυ-μπάς
κολυμπάω κο-λυ-μπά-ω
κολύμπησα κο-λύ-μπη-σα
κολύμπησε κο-λύ-μπη-σε
κολυμπήσει κο-λυ-μπή-σει
κολυμπήσω κο-λυ-μπή-σω
κολυμπούσα κο-λυ-μπού-σα
κολυμπώντας κο-λυ-μπώ-ντας
κόμβος κόμ-βος
κόμβων κόμ-βων
κόμικς κό-μικς
κόμμα κό-μμα
κόμματα κό-μμα-τα
κομματάκι κο-μμα-τά-κι
κομμάτι κο-μμά-τι
κομμάτια κο-μμά-τια
κομματικών κο-μμα-τι-κών
κόμματος κό-μμα-τος
κομμένο κο-μμέ-νο
κομμουνισμός κο-μμου-νι-σμός
κομμουνιστικά κο-μμου-νι-στι-κά
κομμουνιστική κο-μμου-νι-στι-κή
κομμουνιστικού κο-μμου-νι-στι-κού
Κομπαγιάσι Κο-μπα-γιά-σι
κομπιούτερ κο-μπιού-τερ
κομπιουτεράκι κο-μπιου-τε-ρά-κι
κομφουκιανισμός κομ-φου-κι-α-νι-σμός
κονία κο-νί-α
κονκάρδα κον-κάρ-δα
Κοντ Κοντ
κοντά κο-ντά
κοντινό κο-ντι-νό
Κοντολέφα Κο-ντο-λέ-φα
Κοντοράβδη Κο-ντο-ρά-βδη
Κοντοράβδης Κο-ντο-ρά-βδης
κοντός κο-ντός
κοντούλα κο-ντού-λα
κοπεί κο-πεί
Κοπέρνικου Κο-πέρ-νι-κου
κόπηκα κό-πη-κα
κόπο κό-πο
κόπος κό-πος
κόπτες κό-πτες
κοπτική κο-πτι-κή
Κοραή Κο-ρα-ή
κοράνιο κο-ρά-νι-ο
κορβέτα κορ-βέ-τα
Κορέλλι Κο-ρέ-λλι
κόρη κό-ρη
Κοριά Κο-ρι-ά
κορινθιακά κο-ριν-θι-α-κά
κοριό κορ-ιό
κοριτσάκι κο-ρι-τσά-κι
κοριτσάκια κο-ρι-τσά-κια
κορίτσια κο-ρί-τσια
κορμού κορ-μού
Κόρνφορθ Κόρν-φορθ
κορόιδευα κο-ρό-ι-δε-υα
κορόιδευε κο-ρό-ι-δε-υε
κοροϊδεύοντας κο-ρο-ϊ-δε-ύο-ντας
κοροϊδεύω κο-ρο-ϊ-δε-ύω
κορόιδεψα κο-ρό-ι-δε-ψα
κορόιδεψε κο-ρό-ι-δε-ψε
κοροϊδέψει κο-ρο-ϊ-δέ-ψει
κοροϊδέψω κο-ρο-ϊ-δέ-ψω
κόρον κό-ρον
κορτιζόλη κορ-τι-ζό-λη
κορυφή κο-ρυ-φή
κορυφώθηκε κο-ρυ-φώ-θη-κε
κοσμικού κο-σμι-κού
κόσμο κό-σμο
κοσμοθεωρία κο-σμο-θε-ω-ρί-α
κοσμολογία κο-σμο-λο-γί-α
κοσμοπολίτικα κο-σμο-πο-λί-τι-κα
κοσμοπολίτικη κο-σμο-πο-λί-τι-κη
κόσμος κό-σμος
κόσμου κό-σμου
κόστους κό-στους
Κοτζιάς Κο-τζιάς
κουβαλάτε κου-βα-λά-τε
κουβαλώ κου-βα-λώ
κουβέντα κου-βέ-ντα
κουβέντες κου-βέ-ντες
κουβεντιάζοντας κου-βεντ-ιά-ζο-ντας
Κουγιουμζέλης Κου-γιουμ-ζέ-λης
κουκίδας κου-κί-δας
Κουλουμπής Κου-λου-μπής
κουλτούρα κουλ-τού-ρα
κουλτούρας κουλ-τού-ρας
κουλτουριάρικη κουλ-τουρ-ιά-ρι-κη
κουνηθείς κου-νη-θείς
Κούο Κού-ο
κούραση κού-ρα-ση
κουραστεί κου-ρα-στεί
κουραστικά κου-ρα-στι-κά
Κούρδοι Κούρ-δοι
Κούρδων Κούρ-δων
Κουρμούλη Κουρ-μού-λη
Κουροσάβα Κου-ρο-σά-βα
Κουστορίκα Κου-στο-ρί-κα
Κουστουράκη Κου-στου-ρά-κη
κουτάκια κου-τά-κια
κουταμάρα κου-τα-μά-ρα
κουταμάρες κου-τα-μά-ρες
κουτί κου-τί
Κουτσογιάννης Κου-τσο-γιά-ννης
κουτσομπολιό κου-τσο-μπο-λιό
κοφτά κο-φτά
κόψε κό-ψε
κόψει κό-ψει
κόψω κό-ψω
κραγιόν κρα-γιόν
κράμα κρά-μα
κράμπα κρά-μπα
κρανίο κρα-νί-ο
κρασί κρα-σί
κρατά κρα-τά
κρατάει κρα-τά-ει
κράτη κρά-τη
κρατηθούν κρα-τη-θούν
κρατήσει κρα-τή-σει
κράτησιν κρά-τη-σιν
κρατικές κρα-τι-κές
κρατικής κρα-τι-κής
κρατικό κρα-τι-κό
κρατικός κρα-τι-κός
κρατικών κρα-τι-κών
κράτος κρά-τος
κρατουμένου κρα-του-μέ-νου
κρατούν κρα-τούν
κράτους κρά-τους
κρατούσε κρα-τού-σε
κρατών κρα-τών
κραχ κραχ
κράχτης κρά-χτης
κρέας κρέ-ας
κρεβάτια κρε-βά-τια
κρεμ κρεμ
κρεμά κρε-μά
κρέμαγα κρέ-μα-γα
κρέμασα κρέ-μα-σα
κρεμάσει κρε-μά-σει
κρεμαστεί κρε-μα-στεί
κρεμάστηκα κρε-μά-στη-κα
κρεμάω κρε-μά-ω
κρεμμυδας κρε-μμυ-δας
κρεμμύδι κρε-μμύ-δι
κρέμομαι κρέ-μο-μαι
κρεμόμουν κρε-μό-μουν
κρήνη κρή-νη
κρησφύγετο κρη-σφύ-γε-το
Κρήτη Κρή-τη
Κρήτης Κρή-της
κρητικό κρη-τι-κό
κριθαράκι κρι-θα-ρά-κι
κριθάρι κρι-θά-ρι
κρίνω κρί-νω
κριός κρι-ός
κρίσεων κρί-σε-ων
κρίση κρί-ση
κρίσης κρί-σης
κρίσιμη κρί-σι-μη
κριτής κρι-τής
κριτική κρι-τι-κή
κριτικός κρι-τι-κός
κροισος κροι-σος
κροκάδι κρο-κά-δι
Κροπότκιν Κρο-πότ-κιν
κροταφικό κρο-τα-φι-κό
κροταφικός κρο-τα-φι-κός
Κρότωνα Κρό-τω-να
κρουαζιέρα κρου-α-ζιέ-ρα
κρούουν κρού-ουν
κρύα κρύ-α
κρυάδα κρυ-ά-δα
κρύβεται κρύ-βε-ται
κρύβομαι κρύ-βο-μαι
κρυβόμουν κρυ-βό-μουν
κρύβω κρύ-βω
κρυμμένη κρυ-μμέ-νη
κρυμμένο κρυ-μμέ-νο
κρυολόγημα κρυ-ο-λό-γη-μα
κρυσταλλικός κρυ-στα-λλι-κός
κρυσταλλοειδής κρυ-στα-λλο-ει-δής
κρυφά κρυ-φά
κρύφιος κρύ-φι-ος
κρυφτεί κρυ-φτεί
κρύφτηκα κρύ-φτη-κα
κρύψει κρύ-ψει
κρυψορχία κρυ-ψορ-χί-α
κρύωνα κρύ-ω-να
κρυώνοντας κρυ-ώ-νο-ντας
κρυώνω κρυ-ώ-νω
κρύωσα κρύ-ω-σα
κρυώσει κρυ-ώ-σει
κρυώσω κρυ-ώ-σω
κρώζω κρώ-ζω
κτενίζω κτε-νί-ζω
κτήμα κτή-μα
κτητική κτη-τι-κή
κτίριο κτί-ρι-ο
κτιρίου κτι-ρί-ου
κτισμάτων κτι-σμά-των
κτυπώ κτυ-πώ
κυάνιο κυ-ά-νι-ο
κυβερνήσεις κυ-βερ-νή-σεις
κυβερνήσεων κυ-βερ-νή-σε-ων
κυβερνήσεως κυ-βερ-νή-σε-ως
κυβέρνηση κυ-βέρ-νη-ση
κυβέρνησης κυ-βέρ-νη-σης
κυβερνητική κυ-βερ-νη-τι-κή
κυβερνητικό κυ-βερ-νη-τι-κό
